id,existingchecking,duration,credithistory,purpose,creditamount,savings,employmentsince,installmentrate,statussex,otherdebtors,residencesince,property,age,otherinstallmentplans,housing,existingcredits,job,peopleliable,telephone,foreignworker,classification
22, poor,10, critical account/ other credits existing (not at this bank), car (new),2241, little, less than 1 year,1," male, single", none,3, real estate,48, none, rent,2, unskilled - resident,2, none, no,1
23, little,12, critical account/ other credits existing (not at this bank), car (used),1804, moderate, less than 1 year,3," male, single", none,4, building society savings agreement/ life insurance,44, none, own,1, skilled employee / official,1, none, yes,1
24, no checking account,10, critical account/ other credits existing (not at this bank), furniture/equipment,2069, unknown/ no savings account, 1 to 4 years,2," male, married/widowed", none,1," car or other, not in attribute 6",26, none, own,2, skilled employee / official,1, none, no,1
25, poor,6, existing credits paid back duly till now, furniture/equipment,1374, little, 1 to 4 years,1," male, single", none,2, real estate,36," bank,", own,1, unskilled - resident,1, yes, yes,1
26, no checking account,6, no credits taken/ all credits paid back duly, radio/television,426, little, more than 7 years,4," male, married/widowed", none,4," car or other, not in attribute 6",39, none, own,1, unskilled - resident,1, none, yes,1
27, moderate,12, all credits at this bank paid back duly, radio/television,409, rich, 1 to 4 years,3," female, divorced/separated/married", none,3, real estate,42, none, rent,2, skilled employee / official,1, none, yes,1
28, little,7, existing credits paid back duly till now, radio/television,2415, little, 1 to 4 years,3," male, single", guarantor,2, real estate,34, none, own,1, skilled employee / official,1, none, yes,1
29, poor,60, delay in paying off in the past, business,6836, little, more than 7 years,3," male, single", none,4, unknown / no property,63, none, own,2, skilled employee / official,1, yes, yes,2
30, little,18, existing credits paid back duly till now, business,1913, rich, less than 1 year,3," male, married/widowed", none,3, real estate,36," bank,", own,1, skilled employee / official,1, yes, yes,1
31, poor,24, existing credits paid back duly till now, furniture/equipment,4020, little, 1 to 4 years,2," male, single", none,2," car or other, not in attribute 6",27, stores, own,1, skilled employee / official,1, none, yes,1
32, little,18, existing credits paid back duly till now, car (new),5866, moderate, 1 to 4 years,2," male, single", none,2," car or other, not in attribute 6",30, none, own,2, skilled employee / official,1, yes, yes,1
33, no checking account,12, critical account/ other credits existing (not at this bank), business,1264, unknown/ no savings account, more than 7 years,4," male, single", none,4, unknown / no property,57, none, rent,1, unskilled - resident,1, none, yes,1
34, moderate,12, existing credits paid back duly till now, furniture/equipment,1474, little, less than 1 year,4," female, divorced/separated/married", none,1, building society savings agreement/ life insurance,33," bank,", own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
35, little,45, critical account/ other credits existing (not at this bank), radio/television,4746, little, less than 1 year,4," male, single", none,2, building society savings agreement/ life insurance,25, none, own,2, unskilled - resident,1, none, yes,2
36, no checking account,48, critical account/ other credits existing (not at this bank), education,6110, little, 1 to 4 years,1," male, single", none,3, unknown / no property,31," bank,", for free,1, skilled employee / official,1, yes, yes,1
37, moderate,18, existing credits paid back duly till now, radio/television,2100, little, 1 to 4 years,4," male, single", co-applicant,2, real estate,37, stores, own,1, skilled employee / official,1, none, yes,2
38, moderate,10, existing credits paid back duly till now, domestic appliances,1225, little, 1 to 4 years,2," male, single", none,2," car or other, not in attribute 6",37, none, own,1, skilled employee / official,1, yes, yes,1
39, little,9, existing credits paid back duly till now, radio/television,458, little, 1 to 4 years,4," male, single", none,3, real estate,24, none, own,1, skilled employee / official,1, none, yes,1
40, no checking account,30, existing credits paid back duly till now, radio/television,2333, quite rich, more than 7 years,4," male, single", none,2," car or other, not in attribute 6",30," bank,", own,1, management/ self-employed/highly qualified employee/ officer,1, none, yes,1
41, little,12, existing credits paid back duly till now, radio/television,1158, quite rich, 1 to 4 years,3," male, divorced/separated", none,1," car or other, not in attribute 6",26, none, own,1, skilled employee / official,1, yes, yes,1
42, little,18, delay in paying off in the past, repairs,6204, little, 1 to 4 years,2," male, single", none,4, real estate,44, none, own,1, unskilled - resident,2, yes, yes,1
43, poor,30, critical account/ other credits existing (not at this bank), car (used),6187, moderate, 4 to 7 years,1," male, married/widowed", none,4," car or other, not in attribute 6",24, none, rent,2, skilled employee / official,1, none, yes,1
44, poor,48, critical account/ other credits existing (not at this bank), car (used),6143, little, more than 7 years,4," female, divorced/separated/married", none,4, unknown / no property,58, stores, for free,2, unskilled - resident,1, none, yes,2
45, no checking account,11, critical account/ other credits existing (not at this bank), car (new),1393, little, less than 1 year,4," female, divorced/separated/married", none,4," car or other, not in attribute 6",35, none, own,2, management/ self-employed/highly qualified employee/ officer,1, none, yes,1
46, no checking account,36, existing credits paid back duly till now, radio/television,2299, quite rich, more than 7 years,4," male, single", none,4," car or other, not in attribute 6",39, none, own,1, skilled employee / official,1, none, yes,1
47, poor,6, existing credits paid back duly till now, car (used),1352, quite rich, unemployed,1," female, divorced/separated/married", none,2, building society savings agreement/ life insurance,23, none, rent,1, unemployed/ unskilled - non-resident,1, yes, yes,1
48, no checking account,11, critical account/ other credits existing (not at this bank), car (new),7228, little, 1 to 4 years,1," male, single", none,4, building society savings agreement/ life insurance,39, none, own,2, unskilled - resident,1, none, yes,1
49, no checking account,12, existing credits paid back duly till now, radio/television,2073, moderate, 1 to 4 years,4," female, divorced/separated/married", co-applicant,2, real estate,28, none, own,1, skilled employee / official,1, none, yes,1
50, little,24, delay in paying off in the past, furniture/equipment,2333, unknown/ no savings account, less than 1 year,4," male, single", none,2, building society savings agreement/ life insurance,29," bank,", own,1, unskilled - resident,1, none, yes,1
51, little,27, delay in paying off in the past, car (used),5965, little, more than 7 years,1," male, single", none,2," car or other, not in attribute 6",30, none, own,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
52, no checking account,12, existing credits paid back duly till now, radio/television,1262, little, 1 to 4 years,3," male, single", none,2," car or other, not in attribute 6",25, none, own,1, skilled employee / official,1, none, yes,1
53, no checking account,18, existing credits paid back duly till now, car (used),3378, unknown/ no savings account, 1 to 4 years,2," male, single", none,1, building society savings agreement/ life insurance,31, none, own,1, skilled employee / official,1, yes, yes,1
54, little,36, delay in paying off in the past, car (new),2225, little, more than 7 years,4," male, single", none,4, unknown / no property,57," bank,", for free,2, skilled employee / official,1, yes, yes,2
55, no checking account,6, all credits at this bank paid back duly, car (new),783, unknown/ no savings account, 1 to 4 years,1," male, single", guarantor,2, real estate,26, stores, own,1, unskilled - resident,2, none, yes,1
56, little,12, existing credits paid back duly till now, radio/television,6468, unknown/ no savings account, unemployed,2," male, single", none,1, unknown / no property,52, none, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
57, no checking account,36, critical account/ other credits existing (not at this bank), radio/television,9566, little, 1 to 4 years,2," female, divorced/separated/married", none,2," car or other, not in attribute 6",31, stores, own,2, skilled employee / official,1, none, yes,1
58, moderate,18, existing credits paid back duly till now, car (new),1961, little, more than 7 years,3," female, divorced/separated/married", none,2," car or other, not in attribute 6",23, none, own,1, management/ self-employed/highly qualified employee/ officer,1, none, yes,1
59, poor,36, critical account/ other credits existing (not at this bank), furniture/equipment,6229, little, less than 1 year,4," female, divorced/separated/married", co-applicant,4, unknown / no property,23, none, rent,2, unskilled - resident,1, yes, yes,2
60, little,9, existing credits paid back duly till now, business,1391, little, 1 to 4 years,2," male, married/widowed", none,1, real estate,27," bank,", own,1, skilled employee / official,1, yes, yes,1
61, little,15, critical account/ other credits existing (not at this bank), radio/television,1537, unknown/ no savings account, more than 7 years,4," male, single", guarantor,4, real estate,50, none, own,2, skilled employee / official,1, yes, yes,1
62, little,36, no credits taken/ all credits paid back duly, business,1953, little, more than 7 years,4," male, single", none,4, unknown / no property,61, none, for free,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
63, little,48, no credits taken/ all credits paid back duly, business,14421, little, 1 to 4 years,2," male, single", none,2," car or other, not in attribute 6",25, none, own,1, skilled employee / official,1, yes, yes,2
64, no checking account,24, existing credits paid back duly till now, radio/television,3181, little, less than 1 year,4," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,26, none, own,1, skilled employee / official,1, yes, yes,1
65, no checking account,27, existing credits paid back duly till now, repairs,5190, unknown/ no savings account, more than 7 years,4," male, single", none,4, building society savings agreement/ life insurance,48, none, own,4, skilled employee / official,2, yes, yes,1
66, no checking account,12, existing credits paid back duly till now, radio/television,2171, little, less than 1 year,2," female, divorced/separated/married", none,2," car or other, not in attribute 6",29," bank,", own,1, skilled employee / official,1, none, yes,1
67, little,12, existing credits paid back duly till now, car (new),1007, rich, 1 to 4 years,4," male, married/widowed", none,1, real estate,22, none, own,1, skilled employee / official,1, none, yes,1
68, no checking account,36, existing credits paid back duly till now, education,1819, little, 1 to 4 years,4," male, single", none,4, unknown / no property,37, stores, for free,1, skilled employee / official,1, yes, yes,2
69, no checking account,36, existing credits paid back duly till now, radio/television,2394, unknown/ no savings account, 1 to 4 years,4," female, divorced/separated/married", none,4," car or other, not in attribute 6",25, none, own,1, skilled employee / official,1, none, yes,1
70, no checking account,36, existing credits paid back duly till now, car (used),8133, little, 1 to 4 years,1," female, divorced/separated/married", none,2, building society savings agreement/ life insurance,30," bank,", own,1, skilled employee / official,1, none, yes,1
71, no checking account,7, critical account/ other credits existing (not at this bank), radio/television,730, unknown/ no savings account, more than 7 years,4," male, single", none,2, building society savings agreement/ life insurance,46, none, rent,2, unskilled - resident,1, yes, yes,1
72, poor,8, critical account/ other credits existing (not at this bank), others,1164, little, more than 7 years,3," male, single", none,4, unknown / no property,51," bank,", for free,2, management/ self-employed/highly qualified employee/ officer,2, yes, yes,1
73, little,42, critical account/ other credits existing (not at this bank), business,5954, little, 4 to 7 years,2," female, divorced/separated/married", none,1, real estate,41," bank,", own,2, unskilled - resident,1, none, yes,1
74, poor,36, existing credits paid back duly till now, education,1977, unknown/ no savings account, more than 7 years,4," male, single", none,4, unknown / no property,40, none, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
75, poor,12, critical account/ other credits existing (not at this bank), car (used),1526, little, more than 7 years,4," male, single", none,4, unknown / no property,66, none, for free,2, management/ self-employed/highly qualified employee/ officer,1, none, yes,1
76, poor,42, existing credits paid back duly till now, radio/television,3965, little, less than 1 year,4," male, single", none,3," car or other, not in attribute 6",34, none, own,1, skilled employee / official,1, none, yes,2
77, little,11, delay in paying off in the past, radio/television,4771, little, 4 to 7 years,2," male, single", none,4, building society savings agreement/ life insurance,51, none, own,1, skilled employee / official,1, none, yes,1
78, no checking account,54, no credits taken/ all credits paid back duly, car (used),9436, unknown/ no savings account, 1 to 4 years,2," male, single", none,2, building society savings agreement/ life insurance,39, none, own,1, unskilled - resident,2, none, yes,1
79, little,30, existing credits paid back duly till now, furniture/equipment,3832, little, less than 1 year,2," male, married/widowed", none,1, building society savings agreement/ life insurance,22, none, own,1, skilled employee / official,1, none, yes,1
80, no checking account,24, existing credits paid back duly till now, radio/television,5943, unknown/ no savings account, less than 1 year,1," female, divorced/separated/married", none,1," car or other, not in attribute 6",44, none, own,2, skilled employee / official,1, yes, yes,2
81, no checking account,15, existing credits paid back duly till now, radio/television,1213, quite rich, more than 7 years,4," male, single", none,3, building society savings agreement/ life insurance,47, stores, own,1, skilled employee / official,1, yes, yes,1
82, no checking account,18, existing credits paid back duly till now, business,1568, moderate, 1 to 4 years,3," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,24, none, rent,1, unskilled - resident,1, none, yes,1
83, poor,24, existing credits paid back duly till now, others,1755, little, more than 7 years,4," female, divorced/separated/married", guarantor,4, real estate,58, none, own,1, unskilled - resident,1, yes, yes,1
84, poor,10, existing credits paid back duly till now, radio/television,2315, little, more than 7 years,3," male, single", none,4, real estate,52, none, own,1, unskilled - resident,1, none, yes,1
85, no checking account,12, critical account/ other credits existing (not at this bank), business,1412, little, 1 to 4 years,4," female, divorced/separated/married", guarantor,2, real estate,29, none, own,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
86, little,18, critical account/ other credits existing (not at this bank), furniture/equipment,1295, little, less than 1 year,4," female, divorced/separated/married", none,1, building society savings agreement/ life insurance,27, none, own,2, skilled employee / official,1, none, yes,1
87, little,36, existing credits paid back duly till now, education,12612, moderate, 1 to 4 years,1," male, single", none,4, unknown / no property,47, none, for free,1, skilled employee / official,2, yes, yes,2
88, poor,18, existing credits paid back duly till now, car (new),2249, moderate, 4 to 7 years,4," male, single", none,3," car or other, not in attribute 6",30, none, own,1, management/ self-employed/highly qualified employee/ officer,2, yes, yes,1
89, poor,12, no credits taken/ all credits paid back duly, repairs,1108, little, 4 to 7 years,4," male, single", none,3, real estate,28, none, own,2, skilled employee / official,1, none, yes,2
90, no checking account,12, critical account/ other credits existing (not at this bank), radio/television,618, little, more than 7 years,4," male, single", none,4, real estate,56, none, own,1, skilled employee / official,1, none, yes,1
91, poor,12, critical account/ other credits existing (not at this bank), car (used),1409, little, more than 7 years,4," male, single", none,3, real estate,54, none, own,1, skilled employee / official,1, none, yes,1
92, no checking account,12, critical account/ other credits existing (not at this bank), radio/television,797, unknown/ no savings account, more than 7 years,4," female, divorced/separated/married", none,3, building society savings agreement/ life insurance,33," bank,", own,1, unskilled - resident,2, none, yes,2
93, moderate,24, critical account/ other credits existing (not at this bank), furniture/equipment,3617, unknown/ no savings account, more than 7 years,4," male, single", co-applicant,4, unknown / no property,20, none, rent,2, skilled employee / official,1, none, yes,1
94, little,12, existing credits paid back duly till now, car (new),1318, rich, more than 7 years,4," male, single", none,4, real estate,54, none, own,1, skilled employee / official,1, yes, yes,1
95, little,54, no credits taken/ all credits paid back duly, business,15945, little, less than 1 year,3," male, single", none,4, unknown / no property,58, none, rent,1, skilled employee / official,1, yes, yes,2
96, no checking account,12, critical account/ other credits existing (not at this bank), education,2012, unknown/ no savings account, 4 to 7 years,4," female, divorced/separated/married", none,2," car or other, not in attribute 6",61, none, own,1, skilled employee / official,1, none, yes,1
97, little,18, existing credits paid back duly till now, business,2622, moderate, 1 to 4 years,4," male, single", none,4," car or other, not in attribute 6",34, none, own,1, skilled employee / official,1, none, yes,1
98, little,36, critical account/ other credits existing (not at this bank), radio/television,2337, little, more than 7 years,4," male, single", none,4, real estate,36, none, own,1, skilled employee / official,1, none, yes,1
99, little,20, delay in paying off in the past, car (used),7057, unknown/ no savings account, 4 to 7 years,3," male, single", none,4, building society savings agreement/ life insurance,36," bank,", rent,2, management/ self-employed/highly qualified employee/ officer,2, yes, yes,1
100, no checking account,24, existing credits paid back duly till now, car (new),1469, moderate, more than 7 years,4," male, married/widowed", none,4, real estate,41, none, rent,1, unskilled - resident,1, none, yes,1
101, little,36, existing credits paid back duly till now, radio/television,2323, little, 4 to 7 years,4," male, single", none,4," car or other, not in attribute 6",24, none, rent,1, skilled employee / official,1, none, yes,1
102, no checking account,6, delay in paying off in the past, radio/television,932, little, 1 to 4 years,3," female, divorced/separated/married", none,2, real estate,24, none, own,1, skilled employee / official,1, none, yes,1
103, little,9, critical account/ other credits existing (not at this bank), furniture/equipment,1919, little, 4 to 7 years,4," male, single", none,3," car or other, not in attribute 6",35, none, rent,1, skilled employee / official,1, yes, yes,1
104, no checking account,12, existing credits paid back duly till now, car (used),2445, unknown/ no savings account, less than 1 year,2," male, married/widowed", none,4," car or other, not in attribute 6",26, none, rent,1, skilled employee / official,1, yes, yes,1
105, little,24, critical account/ other credits existing (not at this bank), others,11938, little, 1 to 4 years,2," male, single", co-applicant,3," car or other, not in attribute 6",39, none, own,2, management/ self-employed/highly qualified employee/ officer,2, yes, yes,2
106, no checking account,18, all credits at this bank paid back duly, car (new),6458, little, more than 7 years,2," male, single", none,4, unknown / no property,39," bank,", own,2, management/ self-employed/highly qualified employee/ officer,2, yes, yes,2
107, little,12, existing credits paid back duly till now, car (new),6078, little, 4 to 7 years,2," male, single", none,2," car or other, not in attribute 6",32, none, own,1, skilled employee / official,1, none, yes,1
108, poor,24, existing credits paid back duly till now, furniture/equipment,7721, unknown/ no savings account, less than 1 year,1," female, divorced/separated/married", none,2, building society savings agreement/ life insurance,30, none, own,1, skilled employee / official,1, yes, no,1
109, little,14, existing credits paid back duly till now, business,1410, quite rich, more than 7 years,1," male, married/widowed", none,2, real estate,35, none, own,1, skilled employee / official,1, yes, yes,1
110, little,6, delay in paying off in the past, business,1449, moderate, more than 7 years,1," male, divorced/separated", none,2," car or other, not in attribute 6",31," bank,", own,2, skilled employee / official,2, none, yes,1
111, moderate,15, existing credits paid back duly till now, education,392, little, less than 1 year,4," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,23, none, rent,1, skilled employee / official,1, yes, yes,1
112, little,18, existing credits paid back duly till now, car (new),6260, little, 4 to 7 years,3," male, single", none,3, real estate,28, none, rent,1, unskilled - resident,1, none, yes,1
113, no checking account,36, critical account/ other credits existing (not at this bank), car (new),7855, little, 1 to 4 years,4," female, divorced/separated/married", none,2, real estate,25, stores, own,2, skilled employee / official,1, yes, yes,2
114, poor,12, existing credits paid back duly till now, radio/television,1680, quite rich, more than 7 years,3," male, married/widowed", none,1, real estate,35, none, own,1, skilled employee / official,1, none, yes,1
115, no checking account,48, critical account/ other credits existing (not at this bank), radio/television,3578, unknown/ no savings account, more than 7 years,4," male, single", none,1, real estate,47, none, own,1, skilled employee / official,1, yes, yes,1
116, poor,42, existing credits paid back duly till now, radio/television,7174, unknown/ no savings account, 4 to 7 years,4," female, divorced/separated/married", none,3," car or other, not in attribute 6",30, none, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
117, poor,10, critical account/ other credits existing (not at this bank), furniture/equipment,2132, unknown/ no savings account, less than 1 year,2," female, divorced/separated/married", co-applicant,3, real estate,27, none, rent,2, skilled employee / official,1, none, no,1
118, poor,33, critical account/ other credits existing (not at this bank), furniture/equipment,4281, quite rich, 1 to 4 years,1," female, divorced/separated/married", none,4," car or other, not in attribute 6",23, none, own,2, skilled employee / official,1, none, yes,2
119, little,12, critical account/ other credits existing (not at this bank), car (new),2366, quite rich, 4 to 7 years,3," male, divorced/separated", none,3," car or other, not in attribute 6",36, none, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
120, poor,21, existing credits paid back duly till now, radio/television,1835, little, 1 to 4 years,3," female, divorced/separated/married", none,2, real estate,25, none, own,2, skilled employee / official,1, yes, yes,2
121, no checking account,24, critical account/ other credits existing (not at this bank), car (used),3868, little, more than 7 years,4," female, divorced/separated/married", none,2," car or other, not in attribute 6",41, none, rent,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
122, no checking account,12, existing credits paid back duly till now, furniture/equipment,1768, little, 1 to 4 years,3," male, single", none,2, real estate,24, none, rent,1, unskilled - resident,1, none, yes,1
123, moderate,10, critical account/ other credits existing (not at this bank), car (new),781, little, more than 7 years,4," male, single", none,4, unknown / no property,63, none, for free,2, skilled employee / official,1, yes, yes,1
124, little,18, existing credits paid back duly till now, furniture/equipment,1924, unknown/ no savings account, less than 1 year,4," female, divorced/separated/married", none,3, real estate,27, none, rent,1, skilled employee / official,1, none, yes,2
125, poor,12, critical account/ other credits existing (not at this bank), car (new),2121, little, 1 to 4 years,4," male, single", none,2, building society savings agreement/ life insurance,30, none, own,2, skilled employee / official,1, none, yes,1
126, poor,12, existing credits paid back duly till now, radio/television,701, little, 1 to 4 years,4," male, married/widowed", none,2, real estate,40, none, own,1, unskilled - resident,1, none, yes,1
127, little,12, existing credits paid back duly till now, repairs,639, little, 1 to 4 years,4," male, single", none,2," car or other, not in attribute 6",30, none, own,1, skilled employee / official,1, none, yes,2
128, little,12, critical account/ other credits existing (not at this bank), car (used),1860, little, unemployed,4," male, single", none,2," car or other, not in attribute 6",34, none, own,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
129, poor,12, critical account/ other credits existing (not at this bank), car (new),3499, little, 1 to 4 years,3," female, divorced/separated/married", co-applicant,2, real estate,29, none, own,2, skilled employee / official,1, none, yes,2
130, little,48, existing credits paid back duly till now, car (new),8487, unknown/ no savings account, 4 to 7 years,1," female, divorced/separated/married", none,2," car or other, not in attribute 6",24, none, own,1, skilled employee / official,1, none, yes,1
131, poor,36, delay in paying off in the past, education,6887, little, 1 to 4 years,4," male, single", none,3, building society savings agreement/ life insurance,29, stores, own,1, skilled employee / official,1, yes, yes,2
132, no checking account,15, existing credits paid back duly till now, furniture/equipment,2708, little, less than 1 year,2," male, single", none,3, building society savings agreement/ life insurance,27," bank,", own,2, unskilled - resident,1, none, yes,1
133, no checking account,18, existing credits paid back duly till now, furniture/equipment,1984, little, 1 to 4 years,4," male, single", none,4, unknown / no property,47," bank,", for free,2, skilled employee / official,1, none, yes,1
134, no checking account,60, existing credits paid back duly till now, radio/television,10144, moderate, 4 to 7 years,2," female, divorced/separated/married", none,4, real estate,21, none, own,1, skilled employee / official,1, yes, yes,1
135, no checking account,12, critical account/ other credits existing (not at this bank), radio/television,1240, unknown/ no savings account, more than 7 years,4," female, divorced/separated/married", none,2, real estate,38, none, own,2, skilled employee / official,1, yes, yes,1
136, no checking account,27, delay in paying off in the past, car (used),8613, rich, 1 to 4 years,2," male, single", none,2," car or other, not in attribute 6",27, none, own,2, skilled employee / official,1, none, yes,1
137, little,12, existing credits paid back duly till now, radio/television,766, quite rich, 1 to 4 years,4," male, single", none,3, real estate,66, none, own,1, unskilled - resident,1, none, yes,2
138, little,15, critical account/ other credits existing (not at this bank), radio/television,2728, unknown/ no savings account, 4 to 7 years,4," male, single", guarantor,2, real estate,35," bank,", own,3, skilled employee / official,1, yes, yes,1
139, moderate,12, existing credits paid back duly till now, radio/television,1881, little, 1 to 4 years,2," female, divorced/separated/married", none,2," car or other, not in attribute 6",44, none, rent,1, unskilled - resident,1, yes, yes,1
140, moderate,6, existing credits paid back duly till now, car (new),709, rich, less than 1 year,2," male, married/widowed", none,2, real estate,27, none, own,1, unemployed/ unskilled - non-resident,1, none, no,1
141, little,36, existing credits paid back duly till now, radio/television,4795, little, less than 1 year,4," female, divorced/separated/married", none,1, unknown / no property,30, none, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
142, poor,27, existing credits paid back duly till now, radio/television,3416, little, 1 to 4 years,3," male, single", none,2," car or other, not in attribute 6",27, none, own,1, management/ self-employed/highly qualified employee/ officer,1, none, yes,1
143, poor,18, existing credits paid back duly till now, furniture/equipment,2462, little, 1 to 4 years,2," male, single", none,2," car or other, not in attribute 6",22, none, own,1, skilled employee / official,1, none, yes,2
144, no checking account,21, critical account/ other credits existing (not at this bank), furniture/equipment,2288, little, less than 1 year,4," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,23, none, own,1, skilled employee / official,1, yes, yes,1
145, little,48, all credits at this bank paid back duly, business,3566, moderate, 4 to 7 years,4," male, single", none,2," car or other, not in attribute 6",30, none, own,1, skilled employee / official,1, none, yes,1
146, poor,6, critical account/ other credits existing (not at this bank), car (new),860, little, more than 7 years,1," female, divorced/separated/married", none,4, unknown / no property,39, none, own,2, skilled employee / official,1, yes, yes,1
147, no checking account,12, critical account/ other credits existing (not at this bank), car (new),682, moderate, 4 to 7 years,4," female, divorced/separated/married", none,3," car or other, not in attribute 6",51, none, own,2, skilled employee / official,1, yes, yes,1
148, poor,36, critical account/ other credits existing (not at this bank), furniture/equipment,5371, little, 1 to 4 years,3," male, single", guarantor,2, building society savings agreement/ life insurance,28, none, own,2, skilled employee / official,1, none, yes,1
149, no checking account,18, critical account/ other credits existing (not at this bank), radio/television,1582, rich, more than 7 years,4," male, single", none,4," car or other, not in attribute 6",46, none, own,2, skilled employee / official,1, none, yes,1
150, no checking account,6, existing credits paid back duly till now, radio/television,1346, moderate, more than 7 years,2," male, single", none,4, unknown / no property,42," bank,", for free,1, skilled employee / official,2, yes, yes,1
